created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Dec 30 23:55:39 +0000 2023;1741246703939023176;"@yaniarsim Anjuran boikot produk yg menguntungkan Israel jalan di tempat (melempem) ayo gaungkan lagi kpd smua rakyat Indonesia lwt tokoh2 agama ..";0;0;0;1;in;1599215705412448256;1740939038213968150;nusanjaya01;https://twitter.com/nusanjaya01/status/1741246703939023176
Sat Dec 30 23:23:24 +0000 2023;1741238586010443957;"@Kevin_dawn1 Boikot Produk Israel sebab atas dasar kemanusiaan bukan sebab nak tolong melayu boikot. Please get your facts right";0;0;0;0;in;1352969777111699456;1740932616382226893;aliyamaisaha;https://twitter.com/aliyamaisaha/status/1741238586010443957
Sat Dec 30 20:27:42 +0000 2023;1741194372233023799;"Yakin mampu @boikotisraelcom jelas tidak mampu #boikotprodukisrael #boikotisrael #savepalestina udahlah kalian itu butuh produk2 itu, jangan MUN4F1K lah https://t.co/lLhSi2xGLo";0;1;0;0;in;1699230979599355904;1741194372233023799;GoSound_Mitch;https://twitter.com/GoSound_Mitch/status/1741194372233023799
Sat Dec 30 17:43:18 +0000 2023;1741152998670446991;"Teruk sangat boikot kat Malaysia sampai McD pun saman BDSM sbb masih listkan McD Malaysia produk Israel padahal dah purchase franchising bawah nama Gerbang Alaf sejak sekian lama pun (sama macam KFC bawah QSR) https://t.co/ghZkXb5Sax";0;2;0;2;in;1024721845377937408;1741152998670446991;aiman__joe;https://twitter.com/aiman__joe/status/1741152998670446991
Sat Dec 30 15:00:09 +0000 2023;1741111941974954163;"@sofeachipscake Org suruh boikot produk support israel, tiba2 shamimi kena unfollow aku kenal dia pun tak.";0;0;0;0;in;4754265255;1740584247654760772;ItsNeoah;https://twitter.com/ItsNeoah/status/1741111941974954163
Sat Dec 30 14:12:14 +0000 2023;1741099882071683095;"@501Awani Boikot bukan focus McD Malaysia jer 😓 Mereka bersolidariti boikot seperti negara lainnya - boikot pemilik utama McD! Malaysia ni francais jer? Patutnya tingkatkan promosi jika nak juga Malaysian makan McD! Malaysia tak ada keluar arahan tak boleh boikot produk Israel/US! 😇";0;0;0;0;in;1182619642071617539;1740987082775122286;Atizza4;https://twitter.com/Atizza4/status/1741099882071683095
Sat Dec 30 14:05:32 +0000 2023;1741098196246691880;"McDonald’s Malaysia Tuntut Gerakan Boikot Produk Israel Rp20 Miliar  #McDonalds #McD #Malaysia #Israel #Palestina #Boikot  https://t.co/Xj9vexzlu7";0;0;0;0;in;1643986407336341514;1741098196246691880;ikhbarcom;https://twitter.com/ikhbarcom/status/1741098196246691880
Sat Dec 30 14:00:48 +0000 2023;1741097002333540763;"Gerakan boikot produk yang dianggap terkait Israel sudah berlangsung lebih dari dua bulan sejak perang pecah di Gaza.  Pengusaha menganggap pemerintah terlambat turun tangan mengatasi kesimbangsiuran aksi boikot masyarakat.  Simak #CoverStory berikut: https://t.co/10YgkibNNj";0;1;0;0;in;552523769;1741097002333540763;KATADATAcoid;https://twitter.com/KATADATAcoid/status/1741097002333540763
Sat Dec 30 11:56:49 +0000 2023;1741065804354064758;"DILEMA MELAYU LIBERAL BOIKOT PRODUK BMF DIKELOLA KRONI BUMIPUTERA ISMA DISABIT MENYELEWENG DANA PALESTIN  BOIKOT PRODUK CHINA YANG LEBIH MURAH DARI APPLE ASBAB MONOPOLI EKONOMI BELI TANAH FOREST CITY PERKENALKAN JEBAKAN PERANGKAP HUTANG PAYLATER  BOIKOT SYAREKAT SUPPORT ISRAEL 😑 https://t.co/mDLTGG3iUc";1;0;0;0;in;79714051;1741065804354064758;mackillah;https://twitter.com/mackillah/status/1741065804354064758
Sat Dec 30 11:23:17 +0000 2023;1741057362813735335;"Tiga artikel pilihan pembaca Harian Metro 1. McDonald's Malaysia saman gerakan galak boikot produk kaitan Israel https://t.co/cgrRHzeY1y 2. Teman lelaki Bella dibebaskan https://t.co/zdXfzBHKmC 3. Polis buka kertas siasatan kes video tular askar pukul bini https://t.co/s9oXC4TTHg https://t.co/mkgGdV3YvQ";0;0;1;2;in;63070015;1741057362813735335;hmetromy;https://twitter.com/hmetromy/status/1741057362813735335
